identification ID,cell line,Identified Protein,gene symbol,Accession Number,Molecular Weight,Protein Grouping Ambiguity,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3,hsa-let-7b,hsa-let-7c,hsa-let-7d,hsa-let-7e,hsa-let-7f-1,hsa-let-7f-2,hsa-let-7g,hsa-let-7i,hsa-mir-98,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-7-1,hsa-mir-7-2,hsa-mir-7-3,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3,hsa-mir-10b,hsa-mir-15a,hsa-mir-15b,hsa-mir-16-1,hsa-mir-16-2,hsa-mir-17,hsa-mir-18a,hsa-mir-18b,hsa-mir-19a,hsa-mir-19b-1,hsa-mir-19b-2,hsa-mir-20a,hsa-mir-20b,hsa-mir-21,hsa-mir-25,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-31,hsa-mir-34a,hsa-mir-34b,hsa-mir-34c,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-93,hsa-mir-106a,hsa-mir-106b,hsa-mir-107,hsa-mir-122,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-138-1,hsa-mir-138-2,hsa-mir-140,hsa-mir-141,hsa-mir-143,hsa-mir-145,hsa-mir-155,hsa-mir-199a-1,hsa-mir-199a-2,hsa-mir-200a,hsa-mir-200b,hsa-mir-200c,hsa-mir-205,hsa-mir-206,hsa-mir-214,hsa-mir-221,hsa-mir-222,hsa-mir-363,hsa-mir-429,hsa-mir-451
M-155,SK-MEL-28,DNA-binding protein B [Homo sapiens],YBX1,gi|181486,40 kDa,true,9,9,7,10,5,7,6,8,3,9,6,3,6,7,6,9,4,7,4,5,5,,6,2,5,4,3,5,3,6,3,3,5,3,8,4,5,14,5,9,5,6,3,,2,6,3,8,6,7,5,4,,19,7,4,8,2,8,4,9,3,4,6,8,5,10,8,7,6,7,4
N-66,SK-N-MC,DNA-binding protein B [Homo sapiens],YBX1,gi|181486,40 kDa,true,6,24,8,10,15,13,11,4,6,,7,3,8,7,11,8,6,2,4,5,4,4,5,6,7,4,3,5,3,5,5,2,4,6,7,3,7,23,7,7,3,8,5,6,6,7,5,7,6,6,8,6,7,42,10,5,11,7,10,10,6,8,10,8,4,6,12,7,6,10,8,7
"P-1721,2",DU145,germ cell specific Y-box binding protein [Homo sapiens],YBX2,gi|4837737,39 kDa,true,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,13,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
"B-424,2",MCF7,germ cell specific Y-box binding protein [Homo sapiens],YBX2,gi|4837737,39 kDa,true,5,14,,10,8,8,7,3,4,8,5,,5,4,4,5,,,,3,4,,6,5,5,5,,4,7,7,,,,8,11,,,30,5,4,5,14,9,,,6,,9,,,9,13,,9,,8,,,10,3,6,11,5,7,11,,4,4,6,5,7,2
"N-992,2",SK-N-MC,germ cell specific Y-box binding protein [Homo sapiens],YBX2,gi|4837737,39 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,5,,,,,
L-359,A549,tat-associated protein,C1QBP,gi|1096067,31 kDa,,2,,,,,,,,2,,,,,,,,,,2,,,,,,3,,,4,,3,,2,,,,,,7,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-437,DLD-1,tat-associated protein,C1QBP,gi|1096067,31 kDa,,,2,3,3,2,,,,2,3,,,,,2,,,,,,2,2,4,,3,3,3,,2,,,,,,,,,5,2,2,,,,,,,,,,3,,,,4,,,,2,,,3,,,,,3,,,,,,
P-636,DU145,tat-associated protein,C1QBP,gi|1096067,31 kDa,,,,,,,,,,,,,2,,3,,2,,,,,,,,,,,,,,,4,,,,2,,2,15,5,3,7,,,,,2,5,4,,3,,,,4,,,,3,,,,2,,,,,3,5,4,,,5
H-328,HEPG2,tat-associated protein,C1QBP,gi|1096067,31 kDa,,4,7,6,5,6,5,5,5,4,3,4,2,5,5,5,3,3,,,,,3,4,5,4,7,4,2,4,3,3,5,4,3,2,3,6,33,7,,3,,4,2,3,2,6,4,6,6,4,2,3,7,5,5,2,4,3,4,4,3,4,3,4,4,3,5,4,,,5
J-246,Jurkat,tat-associated protein,C1QBP,gi|1096067,31 kDa,,,4,,,3,,3,2,2,2,2,,,,,,,4,2,,2,,,2,4,4,3,2,,4,4,,2,2,3,,3,9,2,,,2,2,,3,2,,,,,,,,9,,,,,,,2,,4,3,,2,,4,,2,4,4
G-880,LN-229,tat-associated protein,C1QBP,gi|1096067,31 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,7,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
B-623,MCF7,tat-associated protein,C1QBP,gi|1096067,31 kDa,true,,5,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,2,,,,2,,15,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-466,NTERA-2,tat-associated protein,C1QBP,gi|1096067,31 kDa,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,5,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,
R-290,Raji,tat-associated protein,C1QBP,gi|1096067,31 kDa,,2,2,4,,3,,,,,,,,,,,,,,2,,,,,,,,,3,2,,,,,,,,,7,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-899,SK-MEL-28,tat-associated protein,C1QBP,gi|1096067,31 kDa,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,
N-450,SK-N-MC,tat-associated protein,C1QBP,gi|1096067,31 kDa,,,,,,,3,,,,,,,,,,,,,,,,,,,3,,2,3,,,,,,,,2,,5,,,,,,,,,,,,,,,,4,,,,3,3,3,,,,,,,,3,,,,
"L-70,5",A549,polypyrimidine tract-binding protein 1 isoform a [Homo sapiens],PTBP1,gi|4506243,60 kDa,true,3,5,5,5,2,6,2,4,5,4,2,,,,2,4,,,7,4,2,3,6,25,6,2,4,7,10,13,2,3,4,22,4,14,6,52,24,,2,7,20,13,8,,,,4,,4,,,8,6,,,,5,,,,,,,6,,,15,,4,
"C-101,2",DLD-1,polypyrimidine tract-binding protein 1 isoform a [Homo sapiens],PTBP1,gi|4506243,60 kDa,true,6,6,7,,3,5,7,7,4,8,6,,3,2,4,,5,3,4,5,6,11,7,11,8,5,,2,4,4,3,2,4,11,3,4,7,46,16,3,4,6,10,13,22,6,2,36,6,3,9,5,4,11,6,7,5,9,22,5,6,5,6,7,18,12,6,8,13,9,8,3
"P-62,5",DU145,polypyrimidine tract-binding protein 1 isoform a [Homo sapiens],PTBP1,gi|4506243,60 kDa,true,8,8,8,8,7,4,3,7,8,8,8,10,16,16,17,25,9,4,8,5,5,4,10,25,11,7,11,7,8,26,23,9,13,24,11,11,6,56,39,13,26,21,17,22,39,15,19,62,13,15,17,13,12,20,21,31,9,,40,8,7,13,14,14,29,21,19,17,21,21,23,15
"H-32,5",HEPG2,polypyrimidine tract-binding protein 1 isoform a [Homo sapiens],PTBP1,gi|4506243,60 kDa,true,18,15,19,20,24,19,17,13,18,19,21,16,13,14,20,35,12,18,10,11,10,14,17,48,18,21,16,13,15,11,13,11,19,49,24,33,4,102,76,13,19,38,47,57,71,28,28,84,28,22,51,23,18,52,26,28,16,31,57,27,17,28,19,27,55,42,21,37,52,4,12,23
"J-49,2",Jurkat,polypyrimidine tract-binding protein 1 isoform a [Homo sapiens],PTBP1,gi|4506243,60 kDa,true,3,3,2,5,5,5,3,,7,8,4,5,7,3,3,,,7,4,6,3,2,2,6,8,6,2,,3,17,11,4,4,12,3,5,4,40,36,2,4,9,5,15,24,6,5,35,13,2,6,4,4,13,6,5,5,8,22,7,6,5,5,6,23,24,13,10,9,5,10,11
"G-75,2",LN-229,polypyrimidine tract-binding protein 1 isoform a [Homo sapiens],PTBP1,gi|4506243,60 kDa,true,4,4,7,4,5,9,7,4,4,9,5,5,15,5,5,10,4,3,3,5,5,2,10,9,9,4,5,3,8,18,5,3,4,8,7,13,7,38,30,2,7,10,4,11,11,6,7,25,11,,9,6,3,8,16,5,3,9,18,4,6,8,6,6,38,26,6,16,5,4,6,
"B-92,2",MCF7,polypyrimidine tract-binding protein 1 isoform a [Homo sapiens],PTBP1,gi|4506243,60 kDa,true,3,3,6,2,3,3,6,,6,5,5,5,,2,,4,2,3,4,5,8,2,10,15,6,6,4,14,7,11,6,8,7,12,8,9,5,96,33,,7,10,12,16,34,9,7,22,8,6,19,6,,9,10,6,,11,13,2,,5,5,5,17,12,2,5,8,6,9,4
"T-145,5",NTERA-2,polypyrimidine tract-binding protein 1 isoform a [Homo sapiens],PTBP1,gi|4506243,60 kDa,true,3,,,,,,,,,,,3,,,,,,,,,,,,2,,2,,3,7,,4,,4,3,,,,41,14,,2,3,,,10,,6,31,6,,,,2,,9,,2,5,13,,3,,,,7,6,5,,,,,
"R-127,5",Raji,polypyrimidine tract-binding protein 1 isoform a [Homo sapiens],PTBP1,gi|4506243,60 kDa,true,4,5,3,3,4,3,5,2,,3,,,,,,,,,,2,,,,3,3,,2,2,5,10,2,,,2,2,,,21,18,,5,4,,4,3,2,2,7,2,,2,,,,,,,2,5,,,,,,13,,,,,,,
"M-96,2",SK-MEL-28,"polypyrimidine tract binding protein 1, isoform CRA_g [Homo sapiens]",PTBP1,gi|119581562,54 kDa,true,13,10,4,9,9,4,8,7,7,7,9,3,6,7,3,16,6,12,5,9,10,,6,10,5,7,6,7,6,8,4,4,7,9,6,,,52,22,4,6,6,13,9,15,5,2,11,6,8,6,4,2,15,5,4,7,,12,7,8,9,8,8,12,13,8,7,27,11,5,5
"N-64,5",SK-N-MC,polypyrimidine tract-binding protein 1 isoform a [Homo sapiens],PTBP1,gi|4506243,60 kDa,true,9,6,2,4,6,5,7,4,8,3,7,4,8,6,16,3,8,4,,4,,2,,7,7,3,6,16,5,16,7,,3,5,3,5,10,47,21,7,2,8,4,9,8,4,3,35,7,6,3,9,5,22,17,5,4,9,15,10,7,7,6,5,3,10,4,5,6,3,16,2
"L-323,4",A549,Rod1 [Homo sapiens],PTBP3,gi|4514554,56 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,4,,,,5,,8,,19,6,,,,4,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
"C-602,5",DLD-1,Rod1 [Homo sapiens],PTBP3,gi|4514554,56 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,14,2,,,,,,4,,,7,,,,,,2,,,,,6,,,,,,,,,,2,,,
"P-261,5",DU145,Rod1 [Homo sapiens],PTBP3,gi|4514554,56 kDa,true,,,,,2,,,,,,,2,4,6,5,6,,,,,2,,2,12,4,2,6,2,2,9,6,3,6,10,2,4,2,35,15,4,3,8,5,14,18,6,3,25,6,2,4,,2,9,10,9,2,3,16,4,2,3,5,3,8,4,,5,5,3,5,3
"H-1022,4",HEPG2,Rod1 [Homo sapiens],PTBP3,gi|4514554,56 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,2,3,2,2,,18,5,,,4,3,7,7,,,8,,,4,,,6,,3,,3,4,,,,3,2,6,,,2,,,,
"J-755,5",Jurkat,Rod1 [Homo sapiens],PTBP3,gi|4514554,56 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,,,3,,,2,,,5,,,,,,,,,,,4,,,,,,3,3,,,,,,
"G-849,5",LN-229,Rod1 [Homo sapiens],PTBP3,gi|4514554,56 kDa,true,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,10,5,,,,,,,,,3,,,,,,,2,,,,,,,,,,8,,,,,,,
"B-536,4",MCF7,Rod1 [Homo sapiens],PTBP3,gi|4514554,56 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,28,8,,,,2,5,8,,,4,,,,,,4,,,,2,,,,,,,4,2,,,,,4,
"R-557,5",Raji,Rod1 [Homo sapiens],PTBP3,gi|4514554,56 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-915,5",SK-MEL-28,Rod1 [Homo sapiens],PTBP3,gi|4514554,56 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,4,,3,,,,,,,,,3,,,,,,,,,,,,,,,4,,,
"N-793,5",SK-N-MC,Rod1 [Homo sapiens],PTBP3,gi|4514554,56 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,,,4,,,,,,3,,,,,,,,,,,,2,,,,,3,
L-372,A549,"Family with sequence similarity 98, member A [Homo sapiens]",FAM98A,gi|112180796,55 kDa,,,5,,,,11,2,4,,,,,,,,,,2,,,2,2,2,,,2,5,3,2,2,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-337,DLD-1,"Family with sequence similarity 98, member A [Homo sapiens]",FAM98A,gi|112180796,55 kDa,true,,9,,,,20,2,4,,,2,7,,,2,,3,4,,,3,,,,,,,5,2,,,,,,,,,,,,11,,,,,,,,,,,3,,,,5,4,3,,,,,2,10,2,,,3,,7,,
P-475,DU145,"Family with sequence similarity 98, member A [Homo sapiens]",FAM98A,gi|112180796,55 kDa,true,2,3,4,,,5,,,2,8,,8,,5,14,2,,5,,,3,,3,,,,,3,,,,,,,3,,2,,,,3,2,,,,2,,,,,4,7,,,,11,,,,,,2,4,12,10,,,3,2,6,,
H-399,HEPG2,"Family with sequence similarity 98, member A [Homo sapiens]",FAM98A,gi|112180796,55 kDa,true,8,12,2,2,5,17,5,5,2,5,2,12,,3,5,2,4,3,,,4,3,4,2,,,6,8,3,3,2,2,2,,3,2,,,2,,16,,2,,,,3,,3,,2,11,4,,,6,3,3,,,5,4,4,7,,,2,5,,3,,
J-348,Jurkat,"Family with sequence similarity 98, member A [Homo sapiens]",FAM98A,gi|112180796,55 kDa,true,,3,2,,,3,4,,4,4,2,5,,,,,,2,,,3,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,2,3,,,,4,,,,,,2,,10,4,,,,3,4,,
G-219,LN-229,"Family with sequence similarity 98, member A [Homo sapiens]",FAM98A,gi|112180796,55 kDa,true,6,8,7,4,6,7,7,8,7,9,6,2,,,6,5,6,7,4,,7,,4,2,,4,4,4,,4,,2,4,4,,2,4,,,4,5,2,,,,,,,2,,10,2,5,,,3,4,,,2,4,,4,8,6,,,2,5,3,,
B-198,MCF7,"Family with sequence similarity 98, member A [Homo sapiens]",FAM98A,gi|112180796,55 kDa,true,7,9,,3,17,17,3,4,5,10,2,10,,3,5,,,3,2,,7,3,2,,2,4,3,5,4,,3,4,5,2,3,,3,,4,,23,5,7,,3,3,,,3,,2,12,2,,3,8,2,4,2,,4,4,2,14,5,,,6,7,7,,
T-800,NTERA-2,"Family with sequence similarity 98, member A [Homo sapiens]",FAM98A,gi|112180796,55 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-146,Raji,"Family with sequence similarity 98, member A [Homo sapiens]",FAM98A,gi|112180796,55 kDa,,4,5,4,3,5,5,9,5,8,11,7,2,,,2,,,6,3,3,9,5,,,2,5,5,2,,,,,2,,2,,,,,,8,2,,,,,,,,,7,3,,,,3,,,,,,,,,,,,,2,,,
M-704,SK-MEL-28,"Family with sequence similarity 98, member A [Homo sapiens]",FAM98A,gi|112180796,55 kDa,true,,,,,,4,,,,6,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,3,,,,2,,,,,,,,7,,,,2,,,,
N-904,SK-N-MC,"Family with sequence similarity 98, member A [Homo sapiens]",FAM98A,gi|112180796,55 kDa,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1380,DU145,"family with sequence similarity 98, member B isoform 1 [Homo sapiens]",FAM98B,gi|109452587,46 kDa,true,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,,,,
H-1556,HEPG2,"family with sequence similarity 98, member B isoform 1 [Homo sapiens]",FAM98B,gi|109452587,46 kDa,true,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
J-640,Jurkat,"family with sequence similarity 98, member B isoform 1 [Homo sapiens]",FAM98B,gi|109452587,46 kDa,true,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,2,8,,,,,,,,
G-654,LN-229,"family with sequence similarity 98, member B isoform 1 [Homo sapiens]",FAM98B,gi|109452587,46 kDa,true,3,5,,,,,3,3,5,,,,,,,,2,6,,,6,,,2,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,2,,,,,4,,,3,,,,,3,,,
B-1100,MCF7,"family with sequence similarity 98, member B isoform 1 [Homo sapiens]",FAM98B,gi|109452587,46 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
M-1057,SK-MEL-28,"family with sequence similarity 98, member B isoform 1 [Homo sapiens]",FAM98B,gi|109452587,46 kDa,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,5,,,,,,,,
"H-1628,5",HEPG2,"mTERF domain-containing protein 1, mitochondrial precursor [Homo sapiens]",MTERF3,gi|34147676,48 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-1117,MCF7,"mTERF domain-containing protein 1, mitochondrial precursor [Homo sapiens]",MTERF3,gi|34147676,48 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T-790,4",NTERA-2,"mTERF domain-containing protein 1, mitochondrial precursor [Homo sapiens]",MTERF3,gi|34147676,48 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-429,A549,"pentatricopeptide repeat-containing protein 3, mitochondrial precursor [Homo sapiens]",PTCD3,gi|38683855,79 kDa,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-470,DLD-1,"pentatricopeptide repeat-containing protein 3, mitochondrial precursor [Homo sapiens]",PTCD3,gi|38683855,79 kDa,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,
P-1013,DU145,"pentatricopeptide repeat-containing protein 3, mitochondrial precursor [Homo sapiens]",PTCD3,gi|38683855,79 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-973,HEPG2,"pentatricopeptide repeat-containing protein 3, mitochondrial precursor [Homo sapiens]",PTCD3,gi|38683855,79 kDa,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,22,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,3,,
J-782,Jurkat,"pentatricopeptide repeat-containing protein 3, mitochondrial precursor [Homo sapiens]",PTCD3,gi|38683855,79 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-1028,LN-229,"pentatricopeptide repeat-containing protein 3, mitochondrial precursor [Homo sapiens]",PTCD3,gi|38683855,79 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-819,MCF7,"pentatricopeptide repeat-containing protein 3, mitochondrial precursor [Homo sapiens]",PTCD3,gi|38683855,79 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-417,NTERA-2,"pentatricopeptide repeat-containing protein 3, mitochondrial precursor [Homo sapiens]",PTCD3,gi|38683855,79 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-472,Raji,"pentatricopeptide repeat-containing protein 3, mitochondrial precursor [Homo sapiens]",PTCD3,gi|38683855,79 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-689,SK-MEL-28,"pentatricopeptide repeat-containing protein 3, mitochondrial precursor [Homo sapiens]",PTCD3,gi|38683855,79 kDa,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-850,SK-N-MC,"pentatricopeptide repeat-containing protein 3, mitochondrial precursor [Homo sapiens]",PTCD3,gi|38683855,79 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
C-954,DLD-1,E3 ubiquitin-protein ligase TRIM56 [Homo sapiens],TRIM56,gi|30794216,81 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-1204,DU145,E3 ubiquitin-protein ligase TRIM56 [Homo sapiens],TRIM56,gi|30794216,81 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-1483,HEPG2,E3 ubiquitin-protein ligase TRIM56 [Homo sapiens],TRIM56,gi|30794216,81 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J-547,Jurkat,E3 ubiquitin-protein ligase TRIM56 [Homo sapiens],TRIM56,gi|30794216,81 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-752,LN-229,E3 ubiquitin-protein ligase TRIM56 [Homo sapiens],TRIM56,gi|30794216,81 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-652,MCF7,E3 ubiquitin-protein ligase TRIM56 [Homo sapiens],TRIM56,gi|30794216,81 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
T-533,NTERA-2,E3 ubiquitin-protein ligase TRIM56 [Homo sapiens],TRIM56,gi|30794216,81 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-486,Raji,E3 ubiquitin-protein ligase TRIM56 [Homo sapiens],TRIM56,gi|30794216,81 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-802,SK-N-MC,E3 ubiquitin-protein ligase TRIM56 [Homo sapiens],TRIM56,gi|30794216,81 kDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-36,A549,"programmed cell death 11, isoform CRA_a [Homo sapiens]",PDCD11,gi|119570024,209 kDa,,10,,17,17,18,12,15,5,8,16,11,,,,,,,13,13,5,3,7,19,3,5,14,,5,10,29,13,10,12,17,19,7,9,,,,3,21,13,6,4,9,,,,,3,2,,3,,2,2,,4,,,2,3,3,,2,2,,,,,
"C-62,1",DLD-1,"programmed cell death 11, isoform CRA_a [Homo sapiens]",PDCD11,gi|119570024,209 kDa,,4,2,8,44,11,24,26,19,4,24,24,3,15,,7,,4,11,,2,4,5,4,,2,9,,,5,24,,2,15,2,18,,,,9,2,4,58,6,,,38,,30,,,5,9,8,9,,,12,4,23,6,5,,14,13,13,2,23,4,2,3,47,
P-165,DU145,"programmed cell death 11, isoform CRA_a [Homo sapiens]",PDCD11,gi|119570024,209 kDa,,,,,5,,5,4,,,12,19,2,18,10,16,6,3,,,,,,,3,,5,,,2,5,3,,20,15,25,5,2,,,7,2,41,4,3,,4,,20,7,,3,9,6,19,7,,9,5,,8,5,,5,20,8,,19,7,26,5,46,6
"H-71,1",HEPG2,"programmed cell death 11, isoform CRA_a [Homo sapiens]",PDCD11,gi|119570024,209 kDa,,11,6,16,16,23,17,25,20,8,23,26,,41,16,32,40,12,9,7,2,5,9,19,6,15,20,6,12,12,11,10,9,9,9,14,,4,4,10,14,6,32,7,5,15,17,14,32,21,11,25,28,9,16,9,16,21,20,31,16,13,16,23,33,33,10,27,18,17,25,,7
"J-258,1",Jurkat,"programmed cell death 11, isoform CRA_a [Homo sapiens]",PDCD11,gi|119570024,209 kDa,,,,,,,,,,,,3,,2,,,,,,,,,,,,3,,,,,7,,,,4,2,,,,,,,11,,,,2,,,,,,8,,,3,,5,,,,,,,,2,,2,,13,,17,3
"G-136,1",LN-229,"programmed cell death 11, isoform CRA_a [Homo sapiens]",PDCD11,gi|119570024,209 kDa,,6,,10,17,2,8,19,9,,22,21,3,6,,4,9,2,,,,7,,,,,,,,7,10,,,18,12,5,4,6,,,5,2,17,2,,,9,,6,2,,9,7,,4,,,,,8,,,2,6,6,5,,9,,3,4,14,
B-81,MCF7,KIAA0185 [Homo sapiens],PDCD11,gi|1136430,210 kDa,,11,3,11,19,28,28,11,,4,7,9,,12,3,11,9,4,,,,4,,11,2,2,8,,3,,14,4,,13,9,20,,,,3,3,16,38,16,,5,28,,8,9,,17,14,,17,7,3,10,3,5,10,10,4,15,20,18,,14,15,16,10,18,
T-35,NTERA-2,KIAA0185 [Homo sapiens],PDCD11,gi|1136430,210 kDa,,3,,3,2,,,,,,2,,,6,,7,,4,,,,,,,5,4,3,,,10,6,9,20,9,18,32,9,8,8,7,3,21,62,3,,,4,5,26,,,7,2,,2,20,3,,,17,9,,2,6,6,,,16,16,4,,17,
"R-155,1",Raji,"programmed cell death 11, isoform CRA_a [Homo sapiens]",PDCD11,gi|119570024,209 kDa,,,,3,11,,4,4,,,3,16,,3,,,,,,,,3,,,,,,,,,7,,,4,2,7,,,,,,3,13,,,,2,,,2,,,9,,4,,,,,,,,,,3,,,8,6,,,3,
"M-118,1",SK-MEL-28,"programmed cell death 11, isoform CRA_a [Homo sapiens]",PDCD11,gi|119570024,209 kDa,,15,3,6,6,22,11,25,16,2,9,12,,3,,10,2,,9,6,2,4,,17,3,5,10,2,3,9,13,,,9,3,16,,2,,3,,,14,2,,6,7,3,7,2,,,,,10,3,,12,3,5,2,,,5,10,12,,20,8,6,,18,
